Experiment Number	Description	Train data	dev data
1	Train and test on full MRPC(4076 Train 1726 Dev ) T1 D1	t1	d1
2	Train and test on MRPC (1600 Train 400 Dev ) T1, D1,	t1,	d1,
3	Train and test on MRPC (800 Train 200 Dev) T1,, D1,,	t1,,	d1,,
4	Train and Test on all our data(random sample) (1600 Train 400 Dev) T2 D2	t2	d2
5	Train and Test on our data(random sample) (800 Train 200 Dev) T2, D2,	t2,	d2,
6	Train and Test on our data(idioms in Dev not in train)(1600 Train 400 Dev) T3 D3	t3	d3
7	??	??	??
8		t1	d3
9		t1,,	d2,
10		t1,,	d3,
11		t1,,	d4
12		t1,,	d5
13		t2,	d1,,
14		t3,	d1,,
15		t4	d5
16		t4	d1,,
17		t5	d4
18		t5	d1,,
